,cut,level,salary,years,price
390,Very Good,F,61.7,58,2812
391,Premium,I,62.7,58,554
392,Premium,I,62.8,58,554
393,Ideal,I,62.4,57,554
394,Premium,I,61,59,554
395,Very Good,I,63.1,56,554
396,Ideal,I,60.7,57,554
397,Premium,H,60.9,59,554
398,Premium,H,60.1,55,554
399,Premium,H,62.9,58,554
400,Very Good,H,63.3,56,554
401,Good,H,63.8,55,554
402,Ideal,H,62.9,57,554
403,Very Good,H,63.4,60,554
404,Good,I,63.9,55,554
405,Ideal,H,61.4,56,554
406,Very Good,E,61.9,55,555
407,Very Good,E,62.4,55,555
408,Very Good,F,61.8,58,555
409,Ideal,H,61.5,56,555
410,Ideal,H,60.4,57,555
411,Ideal,I,61.8,55,555
412,Ideal,I,62,56,555
413,Ideal,G,62.3,56,555
414,Ideal,F,61.6,56,555
415,Ideal,G,60.6,56,555
416,Very Good,E,58.4,62,555
417,Very Good,F,61.4,58,556
418,Ideal,I,61.9,56,556
419,Ideal,G,62,56,556
420,Ideal,E,61.5,57,556
421,Very Good,F,62.3,58,2812
422,Very Good,F,60.9,61,2812
423,Ideal,D,62.4,57,2812
424,Fair,J,55,61,2812
425,Premium,E,58.6,60,2812
426,Ideal,F,62,57,2812
427,Premium,G,59.8,58,2813
428,Very Good,E,63.4,55,2813
429,Good,I,64.3,58,2813
430,Premium,E,62.2,59,2814
431,Ideal,E,61.7,57,2814
432,Premium,E,61.1,59,2814
433,Very Good,D,61.5,56,2815
434,Very Good,F,58.5,62,2815
435,Premium,G,61.7,58,2815
436,Ideal,H,60.4,56,2815
437,Ideal,H,61.4,56,2815
438,Ideal,H,61.5,55,2815
439,Ideal,H,61.4,56,2815
440,Fair,J,65,56,2815
441,Fair,F,56,60,2815
442,Premium,H,60.2,59,2815
443,Premium,E,58.3,58,2815
444,Fair,E,53.1,63,2815
445,Premium,G,60.3,58,2815
446,Very Good,I,61.4,56,2816
447,Ideal,G,60.1,57,2816
448,Good,D,63.4,55,2816
449,Premium,F,61.5,59,2816
450,Ideal,H,62.7,56,2816
451,Ideal,H,62.5,55,2816
452,Premium,E,61.3,56,2817
453,Ideal,I,60.2,56,2817
454,Ideal,E,62.7,57,2817
455,Premium,E,62.3,58,2817
456,Ideal,F,61.5,56,2817
457,Premium,E,59.2,59,2817
458,Premium,E,61.8,59,2817
459,Ideal,E,61.3,55,2817
460,Premium,E,61.4,58,2817
461,Ideal,J,62.8,55,2817
462,Good,E,62.8,64,2817
463,Premium,E,62.4,61,2818
464,Premium,E,59.3,60,2818
465,Premium,E,63,60,2818
466,Premium,H,61.3,60,2818
467,Premium,F,59.3,62,2818
468,Ideal,H,61,57,2818
469,Ideal,E,62.9,57,2818
470,Premium,E,59.6,57,2818
471,Premium,F,61.8,60,2818
472,Premium,E,62.7,57,2818
473,Fair,H,65.3,62,2818
474,Very Good,G,63.8,58,2819
475,Ideal,H,62.3,56,2819
476,Good,F,59.7,63,2819
477,Good,F,64.3,60,2819
478,Ideal,G,62.9,58,2820
479,Ideal,E,62,57,2821
480,Premium,E,61.6,59,2821
481,Ideal,E,61.9,55,2821
482,Premium,E,61.3,58,2821
483,Good,E,63.6,57,2821
484,Premium,E,59.6,61,2821
485,Premium,E,62.2,59,2821
486,Premium,D,61.7,55,2821
487,Very Good,E,63.2,58,2821
488,Premium,E,60.8,60,2822
489,Premium,E,60.3,59,2822
490,Premium,E,60.9,60,2822
491,Premium,E,62.4,59,2822
492,Premium,E,60.2,60,2822
493,Ideal,F,62,55,2822
494,Ideal,I,60.8,57,2822
495,Ideal,F,62.1,55,2822
496,Premium,D,62.7,60,2822
497,Premium,D,61.3,58,2822
498,Premium,D,60.2,60,2822
499,Ideal,D,60.7,56,2822
500,Good,J,64,61,2822
501,Ideal,D,60.2,56,2822
502,Premium,E,61.5,59,2822
503,Premium,E,62.6,56,2822
504,Ideal,D,59.7,58,2822
505,Good,E,61.4,64,2822
506,Ideal,D,62.5,57,2822
507,Ideal,D,61.8,56,2822
508,Premium,E,60.7,62,2822
509,Premium,F,60.6,58,2822
510,Ideal,D,61.4,54,2822
511,Very Good,D,62.8,59,2823
512,Good,I,63.8,57,2823
513,Premium,E,62.3,58,2823
514,Ideal,E,61.3,54,2823
515,Fair,H,65.8,54,2823
516,Ideal,E,60.5,56,2823
517,Premium,D,61.2,59,2824
518,Ideal,I,62.1,57,2824
519,Good,E,63.1,58,2824
520,Ideal,F,62.4,54,2824
521,Premium,E,60.8,60,2824
522,Premium,G,62.2,59,2825
523,Premium,H,60,59,2825
524,Very Good,G,62,57,2825
525,Premium,H,62.5,59,2825
526,Premium,J,60.2,61,2825
527,Fair,H,61.3,67,2825
528,Premium,E,62.6,60,2826
529,Good,E,57.2,59,2826
530,Premium,I,62.2,59,2826
531,Premium,E,62.2,58,2826
532,Very Good,D,63.3,56,2826
533,Premium,E,59.4,61,2826
534,Very Good,I,63.5,56,2826
535,Premium,F,60.8,60,2826
536,Ideal,F,60.7,55,2826
537,Very Good,D,62.3,59,2827
538,Good,D,64,54,2827
539,Premium,H,62.6,58,2827
540,Ideal,H,61.6,57,2827
541,Ideal,H,62.3,55,2827
542,Ideal,D,60.6,57,2828
543,Premium,H,61.6,61,2828
544,Premium,F,62.2,58,2829
545,Good,E,63.7,54,2829
546,Ideal,E,62,56,2829
547,Ideal,F,61.7,57,2829
548,Premium,E,61.9,57,2829
549,Premium,E,60.2,57,2829
550,Very Good,E,62.7,59,2830
551,Very Good,H,61.7,56,2830
552,Ideal,F,60.7,56,2830
553,Ideal,F,60.9,57,2830
554,Ideal,F,61.8,57,2830
555,Ideal,I,62.1,54.4,2830
556,Premium,G,60.6,62,2830
557,Very Good,E,60.8,60,2831
558,Ideal,E,62.3,57,2831
559,Ideal,E,61.4,57,2831
560,Premium,E,62.1,58,2831
561,Ideal,G,61.8,56,2831
562,Very Good,F,62.5,58,2832
563,Very Good,I,62.8,61,2832
564,Premium,G,62.1,57,2832
565,Premium,G,63,60,2832
566,Ideal,H,62.5,57,2832
567,Premium,F,62.2,58,2832
568,Good,J,64.3,63,2832
569,Very Good,I,62,58,2833
570,Very Good,E,61,59,2833
571,Very Good,D,59.6,61,2833
572,Ideal,D,61,57,2833
573,Ideal,F,61.7,55,2833
574,Ideal,H,62.5,57,2833
575,Ideal,F,60.7,57,2833
576,Ideal,G,62.2,56,2834
577,Ideal,H,62.8,57,2834
578,Very Good,D,59.9,58,2834
579,Ideal,F,61.4,57,2834
580,Ideal,I,61.8,55,2834
581,Very Good,J,63.4,54,2834
582,Fair,G,65.3,59,2834
583,Ideal,E,60.7,55,2834
584,Ideal,F,61.2,56,2835
585,Ideal,F,61.9,57,2835
586,Ideal,E,61.5,54,2835
587,Ideal,E,62.8,57,2835
588,Ideal,E,61,57,2835
589,Premium,F,59.6,59,2835
590,Very Good,H,60.7,56,2836
591,Good,E,62.8,60,2836
592,Premium,E,62.6,59,2837
593,Ideal,E,61.8,56,2837
594,Ideal,F,59.8,53,2838
595,Very Good,H,60.9,55,2838
596,Fair,F,64.9,58,2838
597,Premium,F,58.8,60,2838
598,Premium,F,62.3,58,2838
599,Premium,F,61.7,58,2838
600,Premium,G,62.6,55,2838
601,Premium,F,59.4,61,2838
602,Very Good,E,63.5,59,2838
603,Premium,F,60.9,61,2838
604,Premium,F,59.5,58,2838
605,Premium,G,63,60,2838
606,Very Good,E,60,57,2839
607,Ideal,F,61.5,57,2839
608,Ideal,F,61.6,54,2839
609,Ideal,F,62.1,55,2839
610,Premium,F,59.1,61,2839
611,Premium,F,59,60,2839
612,Premium,F,60.5,58,2839
613,Ideal,F,62.4,53,2839
614,Ideal,G,61.8,54,2839
615,Ideal,E,62.1,54,2839
616,Ideal,G,61.3,57,2839
617,Premium,G,60.3,58,2839
618,Premium,F,59.2,58,2839
619,Premium,G,59.3,62,2839
620,Premium,F,62.7,59,2839
621,Very Good,H,61,60,2840
622,Very Good,F,59.8,56,2840
623,Ideal,F,61,56,2840
624,Premium,F,59.3,56,2840
625,Ideal,D,61.9,56,2840
626,Premium,F,61.4,59,2840
627,Premium,H,59.2,60,2840
628,Premium,F,60.3,59,2841
629,Very Good,D,63.4,55,2841
630,Very Good,D,63.9,57,2841
631,Ideal,F,61.7,53,2841
632,Ideal,F,62.3,56,2841
633,Very Good,F,59.7,57,2841
634,Ideal,F,61.2,56,2841
635,Premium,F,58.9,60,2841
636,Fair,G,66.7,56,2841
637,Ideal,D,61.4,57,2841
638,Premium,F,59.9,59,2841
639,Premium,G,61.4,58,2841
640,Ideal,I,62.6,54,2842
641,Premium,F,58.7,61,2842
642,Very Good,E,60.2,62,2843
643,Very Good,E,62.7,58,2843
644,Very Good,E,59.4,58,2843
645,Very Good,F,63.2,58,2843
646,Very Good,D,61.5,58,2843
647,Ideal,G,61.3,57,2843
648,Very Good,F,61.8,59,2843
649,Ideal,E,62,57,2843
650,Ideal,F,62.1,57,2843
651,Ideal,G,60.7,57,2843
652,Very Good,E,57.7,61,2844
653,Very Good,E,62,59,2844
654,Ideal,I,61.5,57,2844
655,Good,I,63.1,57,2844
656,Ideal,H,62.5,57,2844
657,Very Good,E,61.8,59,2845
658,Very Good,E,58.9,60,2845
659,Good,H,63.4,60,2845
660,Premium,H,59.3,61,2845
661,Ideal,D,61.5,56,2846
662,Very Good,F,60.2,59,2846
663,Ideal,H,61.6,56,2846
664,Fair,H,65.4,59,2846
665,Good,H,64.2,61,2846
666,Ideal,E,59.1,59,2846
667,Ideal,E,61.6,57,2846
668,Good,F,59.1,61,2846
669,Premium,E,62.9,59,2846
670,Premium,G,61.3,60,2846
671,Premium,G,61.4,58,2846
672,Very Good,H,61.2,57,2847
673,Ideal,E,60.3,57,2847
674,Premium,D,61.1,59,2847
675,Very Good,G,62.9,59,2848
676,Ideal,D,61.5,55,2848
677,Fair,D,64.6,57,2848
678,Good,E,64.1,54,2849
679,Very Good,E,63.1,58,2849
680,Very Good,E,61,60,2850
681,Ideal,F,60.8,59,2850
682,Ideal,J,61.5,56,2850
683,Very Good,H,63.1,60,2850
684,Very Good,F,63.4,57,2851
685,Ideal,D,62.1,56,2851
686,Very Good,F,61,63,2851
687,Premium,H,62.7,59,2851
688,Ideal,F,61,57,2851
689,Very Good,E,60.6,59,2852
690,Ideal,I,61.5,57,2852
691,Ideal,G,61.3,55,2852
692,Ideal,E,62.7,55,2852
693,Very Good,I,63.5,57,2852
694,Premium,F,62.6,58,2853
695,Good,G,63.5,55,2853
696,Ideal,D,62.8,57,2853
697,Premium,D,60,60,2853
698,Premium,E,62.7,58,2853
699,Premium,I,61.9,58,2853
700,Very Good,H,61.9,57.1,2854
701,Very Good,E,62.4,56,2854
702,Premium,H,59.1,61,2854
703,Premium,E,62,57,2854
704,Fair,J,64.4,62,2854
705,Fair,J,65.4,60,2854
706,Good,J,64.2,58,2854
707,Fair,H,65.8,58,2854
708,Premium,E,58.4,59,2854
709,Premium,F,61.7,57,2854
710,Very Good,F,62.5,57,2855
711,Good,J,63.6,57,2855
712,Premium,D,62.4,57,2855
713,Fair,E,53.3,67,2855
714,Fair,I,53,63,2856
715,Fair,G,67.8,61,2856
716,Ideal,H,61.6,55,2856
717,Ideal,F,60.8,57,2856
718,Ideal,G,61.6,56,2856
719,Ideal,F,60.7,56,2856
720,Fair,I,67.9,62,2856
721,Ideal,E,62.3,57,556
722,Ideal,E,62.1,56,556
723,Ideal,H,61.9,55,556
724,Good,G,57.5,61,556
725,Good,E,63.3,57,556
726,Good,E,63.5,55,556
727,Good,E,63.4,55,556
728,Very Good,G,59.6,62,556
729,Ideal,E,62.2,54,556
730,Good,E,64.1,54,556
731,Ideal,I,61.6,55,557
732,Ideal,I,61.3,56,557
733,Ideal,I,62.3,54,557
734,Ideal,I,62,54,557
735,Ideal,I,62.7,53,557
736,Ideal,I,62.2,53,557
737,Ideal,G,62.2,53.6,557
738,Ideal,H,61.6,54.8,557
739,Ideal,H,61.8,54.2,557
740,Premium,G,59.4,59,557
741,Premium,F,62.3,58,557
742,Premium,G,62.6,58,557
743,Ideal,G,61.9,56,557
744,Premium,F,63,58,557
745,Premium,J,62.8,58,557
746,Premium,J,61.5,61,557
747,Ideal,J,62.1,55,557
748,Ideal,I,63,57,557
749,Good,I,63.6,53,557
750,Premium,I,60.4,59,557
751,Fair,H,66.1,56,2856
752,Premium,F,60.8,59,2856
753,Premium,F,61,58,2856
754,Good,E,60.1,63,2857
755,Very Good,G,63.1,58,2857
756,Ideal,E,62.3,57,2857
757,Premium,I,61.9,59,2857
758,Premium,E,62.1,58,2857
759,Ideal,G,62.1,56,2858
760,Very Good,F,61.3,57,2858
761,Very Good,F,61.7,57,2858
762,Premium,E,61,60,2858
763,Premium,E,61.4,59,2858
764,Premium,E,61.5,60,2858
765,Very Good,E,63.5,59,2858
766,Premium,J,62.9,58,2858
767,Ideal,E,62.7,54,2858
768,Ideal,D,61.5,56,2858
769,Premium,D,60.4,62,2858
770,Good,E,63.6,62,2858
771,Fair,G,64.5,56,2858
772,Fair,D,56.9,65,2858
773,Ideal,D,61,57,2859
774,Premium,D,62.4,56,2859
775,Premium,F,60.9,60,2859
776,Ideal,G,61.5,56,2859
777,Premium,D,59.6,61,2859
778,Fair,F,55.8,70,2859
779,Premium,E,59.2,60,2859
780,Very Good,F,61.3,61,2860
781,Very Good,J,63.6,58,2860
782,Ideal,E,61.9,54.9,2860
783,Premium,D,62.9,57,2860
784,Ideal,F,61.4,57,2860
785,Premium,D,60.7,58,2861
786,Ideal,G,61.6,56,2861
787,Ideal,G,61.6,56,2861
788,Premium,I,63,58,2861
789,Fair,F,60.1,61,2861
790,Premium,E,61.7,59,2861
791,Premium,D,61,58,2861
792,Very Good,D,62.5,55,2862
793,Very Good,F,62.6,58,2862
794,Very Good,D,62.5,59,2862
795,Premium,F,62.3,54,2862
796,Very Good,F,63.2,60,2862
797,Ideal,H,61.1,57,2862
798,Very Good,E,58.7,63,2862
799,Premium,H,60,60,2862
800,Premium,E,59.5,59,2862
801,Premium,E,60.9,57,2862
802,Fair,E,67.6,57,2862
803,Premium,E,62.5,61,2862
804,Good,I,64.3,58,2863
805,Ideal,D,60.8,56,2863
806,Premium,G,62.3,58,2863
807,Premium,F,62.3,59,2863
808,Premium,D,61,61,2863
809,Premium,D,59.7,59,2863
810,Premium,D,61.7,56,2863
811,Ideal,D,61.7,57,2863
812,Premium,D,61.4,58,2863
813,Premium,D,60.6,58,2863
814,Premium,J,59.5,62,2863
815,Premium,J,59.8,62,2863
816,Premium,H,61.5,62,2863
817,Premium,E,59.1,61,2863
